
2024/04/26 (04:27:27) | ===> btop++ v.1.3.2
2024/04/26 (04:27:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/26 (04:47:16) | ===> btop++ v.1.3.2
2024/04/26 (04:47:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/26 (04:53:15) | ===> btop++ v.1.3.2
2024/04/26 (04:53:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/27 (01:30:46) | ===> btop++ v.1.3.2
2024/04/27 (01:30:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/27 (13:39:01) | ===> btop++ v.1.3.2
2024/04/27 (13:39:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/27 (16:33:44) | ===> btop++ v.1.3.2
2024/04/27 (16:33:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/27 (23:34:49) | ===> btop++ v.1.3.2
2024/04/27 (23:34:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/28 (20:19:14) | ===> btop++ v.1.3.2
2024/04/28 (20:19:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/29 (01:43:01) | ERROR: Stall in Runner thread, restarting!

2024/04/29 (12:37:21) | ===> btop++ v.1.3.2
2024/04/29 (12:37:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/30 (03:38:13) | ===> btop++ v.1.3.2
2024/04/30 (03:38:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/30 (15:55:33) | ===> btop++ v.1.3.2
2024/04/30 (15:55:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/30 (15:55:44) | ===> btop++ v.1.3.2
2024/04/30 (15:55:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/30 (23:33:58) | ===> btop++ v.1.3.2
2024/04/30 (23:33:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/01 (15:05:48) | ===> btop++ v.1.3.2
2024/05/01 (15:05:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/01 (19:25:27) | ===> btop++ v.1.3.2
2024/05/01 (19:25:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/02 (14:58:58) | ===> btop++ v.1.3.2
2024/05/02 (14:58:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/03 (15:54:42) | ===> btop++ v.1.3.2
2024/05/03 (15:54:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/03 (22:00:33) | ===> btop++ v.1.3.2
2024/05/03 (22:00:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/04 (22:26:13) | ===> btop++ v.1.3.2
2024/05/04 (22:26:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/05 (00:05:23) | ===> btop++ v.1.3.2
2024/05/05 (00:05:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/05 (16:21:46) | ===> btop++ v.1.3.2
2024/05/05 (16:21:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/05 (16:24:12) | ===> btop++ v.1.3.2
2024/05/05 (16:24:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/06 (04:49:13) | ===> btop++ v.1.3.2
2024/05/06 (04:49:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/06 (14:42:06) | ===> btop++ v.1.3.2
2024/05/06 (14:42:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/07 (05:36:52) | ===> btop++ v.1.3.2
2024/05/07 (05:36:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/07 (14:54:11) | ===> btop++ v.1.3.2
2024/05/07 (14:54:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/07 (21:49:21) | ===> btop++ v.1.3.2
2024/05/07 (21:49:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/07 (21:57:23) | ===> btop++ v.1.3.2
2024/05/07 (21:57:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/08 (16:16:52) | ===> btop++ v.1.3.2
2024/05/08 (16:16:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/10 (21:40:09) | ===> btop++ v.1.3.2
2024/05/10 (21:40:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
